video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"eIib9hh2UCE","五月天 [ 突然好想見到你 ] Mayday live in the sky 線上演唱會","2020-05-31T13:15:10Z","UC7ovu6a8ydIbDy0fAKmoZ9A","相信音樂BinMusic","10","20.10.06","[none]","5547389","206487","2194","6344","https://i.ytimg.com/vi/eIib9hh2UCE/default.jpg","False","False","誰說2020沒有五月之約2020.5.31 pm 8:00Mayday live in the sky我們偶爾遲到但是一定會到5月的最後一天每個城市 每個時區全球同步 Live 五月天"
"mH0_XpSHkZo","TWICE MORE & MORE M/V","2020-06-01T08:59:56Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","20.10.06","TWICE|트와이스|twice moreandmore|twice more&more|moreandmore|more&more|트와이스 모어앤모어|트와이스 모얼앤모얼|트와이스몰앤몰|twice 모어앤모어|트와이스 moreandmore|트와이스 more&more|twice moreandmore mv|twice mv|more & more m/v|트와이스뮤비|twice music video|twice more and more music video|트와이스 more&more 뮤비|트와이스 뮤직비디오|twice 9th mini album|트와이스 미니 9집","85171113","3125564","125004","538134","https://i.ytimg.com/vi/mH0_XpSHkZo/default.jpg","False","False","TWICE MORE & MORE M/VSpotify https://TWICE.lnk.to/MOREANDMORE/spotifyApple Music https://TWICE.lnk.to/MOREANDMORE/applemusiciTunes https://TWICE.lnk.to/MOREANDMORE/itunes TWICE Official Shop https://TWICE.lnk.to/Shop TWICE Official YouTube: http://www.youtube.com/c/TWICETWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2020 JYP Entertainment. All Rights Reserved#TWICE #트와이스 #MOREandMORE"
"EWBfgPFQFUw","【FULL】跑男出游惨遭地狱泥潭！郑恺爆笑“画画接龙”全员看懵 蔡徐坤跳女团舞结果糗大了？ 《奔跑吧4》KEEPRUNNINGS4 EP2 20200605[浙江卫视官方HD]","2020-06-05T16:02:05Z","UCfj8FsoiPFHn1gZMJaeLEDg","浙江卫视【奔跑吧】官方频道 ZJSTV Keep Running Channel- 欢迎订阅 -","24","20.10.06","奔跑吧|奔跑吧4|跑男|running man china|奔跑吧兄弟第八季|keep running 2020|奔跑吧2020|lucas|奔跑吧兄弟|郭麒麟|Angelababy|benpaobaxiongdi|郑恺|李晨|benpaoba|沙溢|蔡徐坤|keep running|奔跑吧4 第二期|砂锅菜|宋雨琦|keeprunnings4|奔跑吧兄弟第八季2020|黄旭熙|奔跑吧回归|奔跑吧官宣|keeprunning|runningman|奔跑吧4 ep2|奔跑吧8|奔跑吧 蔡徐坤|奔跑吧4 蔡徐坤|奔跑吧4 郭麒麟|奔跑吧4 沙溢|running man|泥潭跷跷板|奔跑吧4 泥潭游戏|郑恺结婚|蔡徐坤 angelababy|蔡徐坤 偶像包袱|奔跑吧 画画接龙|keeprunning ninepercent|caixukun yesok|蔡徐坤黄明昊 yesok|keep running yuqi lucas|#奔跑吧4|跑男8|奔跑|ben pao ba xiong di 2020","1549502","18790","770","2804","https://i.ytimg.com/vi/EWBfgPFQFUw/default.jpg","False","False","《奔跑吧4》每周五更新，马来西亚观众延后27小时可看，台湾观众延后72小时可看~快快订阅我们：http://bitly.com/runningmanchina- 观看更多 More Fun· 《#奔跑吧4》FULL：https://bit.ly/3dXbw9M· 《#奔跑吧4》 CLIP：https://bit.ly/3cPppGF· 《#跑男来了8》：https://bit.ly/3bJM7Pi· 《#奔跑吧4》未播：https://bit.ly/2ZlVFgZ● 欢迎订阅SUBSCRIBE浙江卫视 YouTube：http://bitly.com/zhejiangtv奔跑吧 YouTube：http://bitly.com/runningmanchina浙江音乐 YouTube：http://bit.ly/singchina● Our Social Media浙江卫视 Facebook：http://bit.ly/zjstvfb浙江卫视 Twitter：http://bit.ly/zjstvtwi奔跑吧 Facebook：http://bit.ly/rmchinafb中国新歌声 Facebook：https://bit.ly/2NN7rug梦想的声音 Facebook：http://bit.ly/soundofmydream王牌对王牌 Facebook : https://goo.gl/XjRosX【FULL】跑男出游惨遭地狱泥潭！郑恺爆笑“画画接龙”全员看懵 蔡徐坤跳女团舞结果糗大了？ 《奔跑吧4》KEEPRUNNINGS4 EP2 20200605[浙江卫视官方HD] - 往季回顾 Look back · 《#奔跑吧兄弟》全7季：http://bit.ly/2WW9uOx· 《#奔跑吧3》：https://bit.ly/2Y17N6d· 《#奔跑吧2》：http://bit.ly/2GRZQcw  · 《#奔跑吧1》：http://bit.ly/2oZuarH· Keep Running2 ENGSUB ：http://bit.ly/2qm3iBF · Keep Running ENGSUB：http://bit.ly/2pzT9P3· Running Man China S4 ENGSUB: http://bit.ly/1qfn8LL· Running Man China S3 ENGSUB: http://bit.ly/1T6UOXq《#奔跑吧第四季》是浙江卫视推出的户外竞技真人秀，由浙江卫视节目中心制作，#李晨、#Angelababy（杨颖）、#郑恺、#沙溢、#蔡徐坤、#郭麒麟、#黄旭熙、#宋雨琦 担任固定主持，黄旭熙、宋雨琦因新冠疫情原因后期回归。"
"ErTgtL1Tjns","BTS | Dear Class Of 2020","2020-06-07T23:32:55Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","24","20.10.06","Graduation|Dear Class of 2020|BTS","14095350","2775841","33900","157695","https://i.ytimg.com/vi/ErTgtL1Tjns/default.jpg","False","False","Dear Class of 2020 is a virtual commencement celebration bringing together inspirational leaders and artists to celebrate graduates, their families, and their communities.Watch the full stream here: https://www.youtube.com/watch?v=rxpTjcouaeQConnect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com"
"y64rHpm6RF4","10 Ways To Get Over A Heartbreak 💔","2020-06-07T07:00:25Z","UC8az0OO4wXXu2k0ifJjxxBg","Ryan Sylvia","23","20.10.06","night|owl|cinematics|now|team|ryan|sylvia|singapore|singaporean|youtube|youtubers|the|jianhaotan|how|ways|to|get|over|heart|break|broken|divorce|marriage|life|big|sign|handle|separate|love|like|family|friend|pet|death|fight|quarrel|conflict|cry|eat|food|slumber|party|dance|tiktok|work|out|sad|miss|forget|gossip|give|up|hopeless|lost|confuse|emotional|music|drink|sorrows|away|horrible|feeling|down|cheat|ex|lover|tinder|date|app|sleep|high|school|memory|internet|story|boy|girl|husband|wife|romance","356176","9596","403","1114","https://i.ytimg.com/vi/y64rHpm6RF4/default.jpg","False","False","How do you normally deal with your heartbreaks? Are these any of them? If no, share with us how you dealt with yours!Click This To Make Magic Happenhttp://www.youtube.com/subscription_center?add_user=alozerkHelp us translate our videos!http://www.youtube.com/timedtext_cs_panel?tab=2&c=UC8az0OO4wXXu2k0ifJjxxBgFind us on Instagram:Ryan - https://www.instagram.com/nightowlcinematics Sylvia - https://www.instagram.com/sylsylnocAiken - https://www.instagram.com/aikenchia/Deekosh - https://www.instagram.com/deekosh/Isabelle - https://www.instagram.com/bombiibiiSikeen - http://www.instagram.com/chansikeenAurelia - http://www.instagram.com/aureliahathawayJoanna - http://www.instagram.com/joannalhsGrace - https://www.instagram.com/gracelsyy/Gabriel - https://www.instagram.com/thisisgabrielseow/Rachel - https://www.instagram.com/iamrachelwan/Nina - https://www.instagram.com/ninatsfSherri - https://www.instagram.com/sherriashlee/Charlene - http://www.instagram.com/kiewcAnna - http://www.instagram.com/anna_en/Franster - http://instagram.com/fransterwongVictoria - https://www.instagram.com/victoriacheng/Julian - https://www.instagram.com/juliantaytm/Zijie - https://www.instagram.com/raozijie/Das - https://www.instagram.com/dasdylZemily - https://www.instagram.com/zemily.jieruRyan's Personal - https://www.instagram.com/ryanxgoSamantha - https://www.instagram.com/samanthatyfAiman - https://www.instagram.com/namjaunni/Nicole - https://www.instagram.com/lielnicole/Kris - https://www.instagram.com/_kriskai/SUPPORT US ON PATREON!https://www.patreon.com/nocFACEBOOKhttp://www.facebook.com/nightowlcinematicsEMAILFor business/talent enquiries, email us directly at sylvia@noc.com.sgVISIT OUR WEBSITE http://www.noc.com.sgTWITTERhttp://www.twitter.com/RyanSylviaNOCADDRESSNorth View Bizhub6 Yishun Industrial Street 1, #01-14Singapore 768090NOC PARTNERSCathay Photo - http://www.cathayphoto.com.sg/MyRepublic - https://secure.myrepublic.com.sg/Shunji Matsuo - http://www.shunjimatsuo.com.sg/                Flesh Imp - http://shop.fleshimp.comImba Interactive - https://www.facebook.com/IMBAinteractiveTopGear PC - https://www.topgearpc.com / Bosch - https://www.bosch-home.com.sg/Aftershock - https://www.aftershockpc.com/OUTRO SONGDarren Ashley - https://www.youtube.com/watch?v=qJZq4bADmW0Disclaimer: While we respect everybody's views and opinions, it is necessary you respect ours. We are entertainers, not role models! If you're gonna be butt-hurt about our videos, simply click X :/ But for those who share our sense of humor, enjoy your stay! And tell us what you want to see in the next video! :) Thank you!Directed, shot and edited by Ryan & Sylvia#NOC"
"2Vnubr9qd3s","Food King Singapore: $3 vs $300 Food Delivery!","2020-06-05T07:00:01Z","UC8az0OO4wXXu2k0ifJjxxBg","Ryan Sylvia","23","20.10.06","Singapore|Singaporean|NOC|night|owl|cinematics|team|ryan|sylvia|deekosh|jianhao|youtube|youtuber|comedy|funny|aiken|affordable|vs|luxurious|expensive|cheap|delivery|takeout|order in|dabao|tabao|circuit|breaker|CB|covid|quarantine|stay|home|seafood|roast|kueh|tower|rubato|budget|opulent|crazy|mad|extreme|epic|food|takeway","355909","10457","225","1521","https://i.ytimg.com/vi/2Vnubr9qd3s/default.jpg","False","False","As we enter Phase 1 of Circuit Breaker, we decided it was time to go big AND stay home. Order some of these seriously luxurious takeouts in today!1. Man Man Chi 慢慢吃51 Hougang Ave 9#01-38 Ci Yuan Hawker CentreSingapore 538776 Dishes:Curry Chee Cheong Fun ($3)Shredded Mushroom & Minced Chicken Chee Cheong Fun ($3)Soon Kueh ($1)Handmade Salty Glutinous Rice ($2.50)Order via:WhatsApp 9765 49272. Kiap SG15 Swan Lake Ave, Singapore 455711Dishes:Roast Beef TacoSukiyaki Beef TacoFilipino Pork Belly Sisig TacoMushroom & Sweet Potato TacoTorikatsu Curry Chicken TacoVietnamese Cha Ca Cod TacoAll $6.90 a pieceOrder via:https://order.slake.sg/3. Kueh Ho Jiak6 Tanjong Pagar Plaza #02-20, Singapore 081006Dishes:Kueh Tower $188.00Ka Ta Kueh (Mega Ang Ku Kueh) $50Order via: www.kuehhojiak.com or 8750 92714. Rubato 12 Greenwood AveSingapore 289204IG: @visitrubatoRUBATO IS OPEN FOR 24 HOURS DURING THE CIRCUIT BREAKER PERIOD!Dishes:Char-grilled Hokkaido King Crab Legs ($138)RUBATO’s Mighty Tomahawk — The King of the Steaks ($288)Crispy Charcoal-Grilled Iberico Spanish Suckling Pig ($268)A Gift from the Angels ($48)Order via: www.visitrubato.com or Call/WhatsApp 9424 8258 (24 hours)Click This To Make Magic Happenhttp://www.youtube.com/subscription_center?add_user=alozerkHelp us translate our videos!http://www.youtube.com/timedtext_cs_panel?tab=2&c=UC8az0OO4wXXu2k0ifJjxxBgFind us on Instagram:Ryan - https://www.instagram.com/nightowlcinematics Sylvia - https://www.instagram.com/sylsylnocAiken - https://www.instagram.com/aikenchia/Deekosh - https://www.instagram.com/deekosh/Isabelle - https://www.instagram.com/bombiibiiSikeen - http://www.instagram.com/chansikeenAurelia - http://www.instagram.com/aureliahathawayJoanna - http://www.instagram.com/joannalhsGrace - https://www.instagram.com/gracelsyy/Gabriel - https://www.instagram.com/thisisgabrielseow/Rachel - https://www.instagram.com/iamrachelwan/Nina - https://www.instagram.com/ninatsfSherri - https://www.instagram.com/sherriashlee/Charlene - http://www.instagram.com/kiewcAnna - http://www.instagram.com/anna_en/Franster - http://instagram.com/fransterwongVictoria - https://www.instagram.com/victoriacheng/Julian - https://www.instagram.com/juliantaytm/Zijie - https://www.instagram.com/raozijie/Das - https://www.instagram.com/dasdylZemily - https://www.instagram.com/zemily.jieruRyan's Personal - https://www.instagram.com/ryanxgoSamantha - https://www.instagram.com/samanthatyfAiman - https://www.instagram.com/namjaunni/Nicole - https://www.instagram.com/lielnicole/Kris - https://www.instagram.com/_kriskai/SUPPORT US ON PATREON!https://www.patreon.com/nocFACEBOOKhttp://www.facebook.com/nightowlcinematicsEMAILFor business/talent enquiries, email us directly at sylvia@noc.com.sgVISIT OUR WEBSITE http://www.noc.com.sgTWITTERhttp://www.twitter.com/RyanSylviaNOCADDRESSNorth View Bizhub6 Yishun Industrial Street 1, #01-14Singapore 768090NOC PARTNERSCathay Photo - http://www.cathayphoto.com.sg/MyRepublic - https://secure.myrepublic.com.sg/Shunji Matsuo - http://www.shunjimatsuo.com.sg/                Flesh Imp - http://shop.fleshimp.comImba Interactive - https://www.facebook.com/IMBAinteractiveTopGear PC - https://www.topgearpc.com / Bosch - https://www.bosch-home.com.sg/Aftershock - https://www.aftershockpc.com/OUTRO SONGDarren Ashley - https://www.youtube.com/watch?v=qJZq4bADmW0Disclaimer: While we respect everybody's views and opinions, it is necessary you respect ours. We are entertainers, not role models! If you're gonna be butt-hurt about our videos, simply click X :/ But for those who share our sense of humor, enjoy your stay! And tell us what you want to see in the next video! :) Thank you!Directed, shot and edited by Ryan & Sylvia#NOC"
"UY3Px46WFfc","SIDEMEN 70,000 CALORIES CHALLENGE IN LOCKDOWN","2020-06-07T17:00:08Z","UCDogdKl7t7NHzQ95aEwkdMw","Sidemen","24","20.10.06","sidemen|sidemen sunday|#sidemensunday|sidemen calories|calorie challenge","5533708","344137","3267","23639","https://i.ytimg.com/vi/UY3Px46WFfc/default.jpg","False","False","The Sidemen take on the 70,000 calorie challenge as they get to meet up again for the first time since lockdown began!👉🏻 Subscribe to our 2nd Channel: https://www.youtube.com/MoreSidemen 👈🏻👕: Sidemen Clothing: http://www.sidemenclothing.com📸: Sidemen Instagram: http://www.instagram.com/Sidemen🐤: Sidemen Twitter: http://www.twitter.com/Sidemen✏️: SUBMIT A #SidemenSunday IDEA HEREhttps://forms.gle/JDuGrSzM4F6mdo6D9-----------------------------------------------------------------------------------------------------------------------▶️ SIDEMEN ◀️🔴 SIMON (Miniminter)● http://www.youtube.com/Miniminter● http://www.youtube.com/MM7Games● http://www.instagram.com/Miniminter● http://www.twitter.com/Miniminter🔵 JOSH (Zerkaa)● http://www.youtube.com/Zerkaa● http://www.youtube.com/ZerkaaPlays● http://www.instagram.com/Zerkaa● http://www.twitter.com/ZerkaaHD🔴 ETHAN (Behzinga)● http://www.youtube.com/Behzinga● http://www.youtube.com/Beh2inga● http://www.instagram.com/Behzingagram● http://www.twitter.com/Behzinga🔵 VIK (Vikkstar123)● http://www.youtube.com/Vikkstar123● http://www.youtube.com/Vikkstar123HD● http://www.youtube.com/VikkstarPlays● http://www.instagram.com/Vikkstagram● http://www.twitter.com/Vikkstar123🔴 TOBI (Tobjizzle)● http://www.youtube.com/TBJZL● http://www.youtube.com/Editingaming● http://www.instagram.com/Tobjizzle● http://www.twitter.com/Tobjizzle🔵 JJ (KSI)● http://www.youtube.com/KSI● http://www.youtube.com/KSIOlajidebtHD● http://www.instagram.com/KSI● http://www.twitter.com/KSIOlajidebt🔴 HARRY (W2S)● http://www.youtube.com/W2S● http://www.youtube.com/W2SPlays● http://www.instagram.com/Wroetoshaw● http://www.twitter.com/Wroetoshaw"
"dZBZ_hwUobw","Police chief to Trump: Please, keep your mouth shut if you can't be constructive","2020-06-01T21:16:12Z","UCupvZG-5ko_eiXAupbDfxWw","CNN","25","20.10.06","latest News|Happening Now|CNN|art acevedo|houston police|amanpour|us news|criminal justice|donald trump|george floyd","6166607","181821","15093","43977","https://i.ytimg.com/vi/dZBZ_hwUobw/default.jpg","False","False","Houston police chief Art Acevedo responds to President Trump telling governors to dominate protesters saying that if Trump if can't be constructive to stay quiet.#CNN #News"
"Wf4cea5oObY","Police: Last Week Tonight with John Oliver (HBO)","2020-06-08T06:30:03Z","UC3XTzVzaHQEd30rQbuvCtTQ","LastWeekTonight","24","20.10.06","[none]","7947255","384973","18422","41312","https://i.ytimg.com/vi/Wf4cea5oObY/default.jpg","False","False","As nationwide protests over the deaths of George Floyd and Breonna Taylor are met with police brutality, John Oliver discusses how the histories of policing and white supremacy are intertwined, the roadblocks to fixing things, and some potential paths forward.Connect with Last Week Tonight online... Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/lastweektonight Find Last Week Tonight on Facebook like your mom would: www.facebook.com/lastweektonight Follow us on Twitter for news about jokes and jokes about news: www.twitter.com/lastweektonight Visit our official site for all that other stuff at once: www.hbo.com/lastweektonight"
"AU6uF5sFtwA","BTS Commencement Speech | Dear Class Of 2020","2020-06-07T20:30:16Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","24","20.10.06","Graduation|Dear Class of 2020|BTS","7213044","1675245","8204","34367","https://i.ytimg.com/vi/AU6uF5sFtwA/default.jpg","False","False","Dear Class of 2020 is a virtual commencement celebration bringing together inspirational leaders and artists to celebrate graduates, their families, and their communities. Watch the full stream here: https://www.youtube.com/watch?v=rxpTjcouaeQConnect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com"
